a 日
ghhj 埤
ghi 块
ghml 圻
ghmr 垢
ghmvn 甏
ghmy 坼
ghnd 垛
ghpm 坻
ghrf 坞
ghrj 埠
gi 去
gibt 盍
gif 热
gig 垫
gihab 帮
gihs 城
gijb 埔
gikp 垅
giks 劫
giks 势
gilb 墉
gilmi 蛰
gilr 塘
giok 埃
giq 挚
girm 域
gitc 圹
givif 絷
gjbc 填
gjbm 埴
gjhne 毂
gjka 堵
gjkni 执
gjmu 垸
gjp 坨
gjsle 报
gjtc 坟
gkbuc 赘
gkc 鏊
gkf 熬
gklmi 螯
gklu 埯
gkms 垮
gknwf 鳌
gksj 聱
gksqf 骜
gle 埭
glll 圳
glnc 赤
glwl 坤
gmam 垣
gmbb 坝
gmd 圩
gmdm 坜
gmfj 坪
gmfm 坯
gmhf 塬
gmig 垤
gmlk 埂
gmlm 垭
gmms 圬
gmnr 坷
gmrb 塥
gmwg 堙
gnhe 圾
gnhne 壳
gnhne 彀
gnkm 埏
gnmf 焘
gnmi 寿
gno 坎
gnui 堍
goamj 赶
gobm 趄
gofb 赵
gofbr 趟
gog 堆
gohuc 趱
goimo 趑
goip 埝
goiv 越
gomnn 趔
gon 圪
gonk 堠
goohh 趁
gopuu 趋
goru 起
goshr 超
gosje 趣
govl 赳
gowr 啬
goy 赴
gp 志
gpd 地
gpim 均
gptd 堞
gr 吉
grbc 埙
grhg 埕
grhv 袁
grmbc 颉
grrv 丧
grtf 熹
grtr 嘉
grtr 喜
gru 圯
gsav 堰
gsmb 埽
gsok 敖
gsp 坭
gsu 圮
gsuu 堀
gsyq 墀
gthhh 彭
gtiop 懿
gtj 幸
gtje 鼓
gtm 坩
gtmv 堪
gtor 塔
gumt 垲
gusmm 翘
gvis 坳
gwg 埋
gwlc 卖
gwls 塄
gwyi 坶
gycb 墒
gydk 墩
gyhn 坑
gyhs 坊
gylm 址
gyo 走
gypm 墟
gypt 垆
gyr 坫
gyro 壕
gyrv 壤
gyt 垃
gytr 培
gytu 境
gyuk 垴
gyvo 垓
gywv 坏
h 竹
ha 白
hae 泉
hahdw 皤
hahe 皈
hahgr 皓
hahi 魄
hail 节
hajmu 皖
hakj 皋
halb 帛
ham 笪
hamg 皇
hana 简
haoae 馥
hap 皂
hapi 的
hau 笆
haumt 皑
havt 簋
hayck 皎
hayd 枭
hayf 鸟
hayu 岛
hayv 袅
hbbuu 觉
hbddf 爨
hbe 泶
hbhgr 喾
hbk 奥
hbks 筋
hbln 制
hbmch 衅
hbmgi 璺
hbmr 筒
hbnd 学
hbnwf 鲎
hbr 向
hbsd 筝
hbsmm 翩
hbt 血
hbtmc 黉
hbu 自
hbuf 纂
hbui 篡
hbut 算
hbuu 笕
hbyi 舟
hcln 刘
hcno 欤
hcq 举
hcymr 誉
hd 禾
hda 香
hdamj 秆
hdb 策
hdbgb 称
hdbgr 稠
hdbhx 稻
hdbm 租
hdbmp 稳
hdbnd 稃
hdbu 箱
hdcru 税
hddj 秣
hdf 秋
hdfb 稍
hdfh 秒
hdgow 穑
hdgr 秸
hdhah 穆
hdhhj 稗
hdhqo 秩
hdhu 秃
hdi 私
hdiav 稂
hdid 秫
hdiua 稽
hdiuu 嵇
hdjbc 稹
hdjip 穗
hdjmo 稼
hdkkb 稀
hdl 种
hdl 秉
hdlbk 秧
hdlc 籁
hdln 利
hdln 剁
hdlo 簌
hdlp 乘
hdlw 釉
hdlxh 秭
hdm 笨
hdmfj 秤
hdnd 季
hdnhs 秀
hdnin 移
hdnl 邾
hdoe 黍
hdog 稚
hdoip 稔
hdp 悉
hdph 秘
hdpp 秕
hdqmc 积
hdr 和
hdrhg 程
hdrr 稆
hdu 籼
hdv 委
hdw 番
hdwce 稷
hdwd 稞
hdwlj 释
hdyj 科
hdymh 秽
hdyrb 稿
hdyrv 穰
he 反
hebt 盘
heha 箔
heii 簿
hemr 磐
her 各
hey 冬
heyli 螽
heyr 黏
hfb 筲
hfd 乎
hfhn 凫
hfjp 鸵
hfnl 邬
hfp 愁
hg 壬
hgdi 等
hgf 熏
hghne 毁
hghu 先
hgi 丢
hgks 动
hgmbc 顾
hgni 筹
hgpm 筠
hgr 告
hgrly 靠
hhag 篁
hhail 卿
hhbuc 贸
hhdi 射
hhfbr 躺
hhgu 筅
hhh 彡
hhhnd 躲
hhj 卑
hhk 笑
hhlo 笊
hhmbc 须
hhn 躬
hhoe 黎
hhqm 笙
hhrb 筛
hhs 笮
hhsb 篇
hhsl 卯
hhsld 孵
hhsli 卵
hhsrr 躯
hhvu 篼
hhw 留
hhwgf 黧
hhwp 篦
hhyu 篪
hi 鬼
hibtv 魍
hifb 魈
hihaf 鹅
hihr 箴
hii 笺
hiike 魃
hijd 魅
himlb 魉
hino 乏
hir 笞
hitc 帘
hixp 簏
hiyj 魁
hiyub 魑
hj 千
hjbu 盾
hjcm 箜
hjd 朱
hjhaf 鹎
hjhne 段
hjka 箸
hjlp 乖
hjnl 郫
hjnu 箢
hjr 舌
hjrr 管
hjsmm 翱
hjtm 垂
hjwg 重
hk 夭
hklmi 蚕
hklq 肇
hkp 惩
hkp 忝
hkr 吞
hkrbr 乔
hksr 笳
hku 岙
hkvif 綮
hlbi 禹
hlbuc 质
hldam 齄
hlkn 鼽
hlln 劓
hlmbc 颀
hlmc 篑
hlmj 鼾
hlno 欣
hlo 爪
hlq 笔
hlw 笛
hlwv 篓
hlx 箫
hlxh 笫
hmbu 眚
